,duration,cost
457,month,50
458,month,58
459,month,50
460,month,47
461,month,48
462,month,47
463,month,54
464,month,46
465,month,51
466,month,50
467,month,44
468,month,49
469,month,50
470,month,56
471,month,56
472,month,51
473,month,48
474,month,50
475,month,56
476,month,45
477,month,48
478,month,47
479,month,35
480,month,58
481,month,50
482,month,50
483,month,64
484,month,49
485,month,51
486,month,52
487,month,51
488,month,56
489,month,44
490,month,49
491,month,49
492,month,45
493,month,50
494,month,43
495,month,49
496,month,49
497,month,42
498,month,44
499,month,59
500,month,46
501,month,51
502,month,50
503,month,47
504,month,42
505,month,47
506,month,55
507,month,47
508,month,50
509,month,39
510,month,54
511,month,46
512,month,48
513,month,50
514,month,57
515,month,56
516,month,52
517,month,43
518,month,43
519,month,47
520,month,54
521,month,50
522,month,51
523,month,48
524,month,43
525,month,46
526,month,57
527,month,56
528,month,47
529,month,56
530,month,59
531,month,48
532,month,49
533,month,44
534,month,47
535,month,44
536,month,49
537,month,59
538,month,51
539,month,58
540,month,41
541,month,48
542,month,51
543,month,57
544,month,50
545,month,49
546,month,49
547,month,48
548,month,51
549,month,39
550,month,56
551,month,48
552,month,41
553,month,55
554,month,43
555,month,59
556,month,45
557,month,45
558,month,52
559,month,45
560,month,52
561,month,51
562,month,59
563,month,42
564,month,47
565,month,47
566,month,50
567,month,50
568,month,45
569,month,62
570,month,49
571,month,53
572,month,46
573,month,51
574,month,52
575,month,48
576,month,59
577,month,55
578,month,44
579,month,54
580,month,46
581,month,48
582,month,54
583,month,57
584,month,53
585,month,41
586,month,57
587,month,55
588,month,51
589,month,51
590,month,51
591,month,49
592,month,51
593,month,50
594,month,45
595,month,51
596,month,56
597,month,53
598,month,52
599,month,53
600,month,56
601,month,46
602,month,47
603,month,51
604,month,44
605,month,34
606,month,48
607,month,46
608,month,53
609,month,51
610,month,51
611,month,52
612,month,36
613,month,52
614,month,45
615,month,44
616,month,52
617,month,54
618,month,43
619,month,45
620,month,44
621,month,48
622,month,60
623,month,46
624,month,51
625,month,49
626,month,56
627,month,46
628,month,49
629,month,57
630,month,40
631,month,52
632,month,50
633,month,42
634,month,50
635,month,53
636,month,44
637,month,51
638,month,55
639,month,42
640,month,47
641,month,37
642,month,35
643,month,46
644,month,52
645,month,59
646,month,53
647,month,62
648,month,45
649,month,46
650,month,55
651,month,46
652,month,39
653,month,48
654,month,48
655,month,47
656,month,47
657,month,49
658,month,47
659,month,56
660,month,55
661,month,44
662,month,51
663,month,50
664,month,45
665,month,58
666,month,52
667,month,49
668,month,42
669,month,55
670,month,52
671,month,51
672,month,43
673,month,48
674,month,46
675,month,54
676,month,50
677,month,58
678,month,50
679,month,45
680,month,49
681,month,56
682,month,41
683,month,52
684,month,45
685,month,42
686,month,53
687,month,44
688,month,48
689,month,44
690,month,48
691,month,58
692,month,58
693,month,47
694,month,44
695,month,45
696,month,40
697,month,50
698,month,52
699,month,52
700,month,39
701,month,54
702,month,51
703,month,55
704,month,48
705,month,49
706,month,46
707,month,52
708,month,40
709,month,49
710,month,48
711,month,47
712,month,49
713,month,51
714,month,51
715,month,53
716,month,55
717,month,52
718,month,52
719,month,50
720,month,52
721,month,44
722,month,45
723,month,54
724,month,48
725,month,51
726,month,62
727,month,46
728,month,45
729,month,49
730,month,50
731,month,47
732,month,55
733,month,47
734,month,47
735,month,40
736,month,42
737,month,50
738,month,48
739,month,56
740,month,49
741,month,51
742,month,55
743,month,45
744,month,58
745,month,52
746,month,44
747,month,44
748,month,44
749,month,54
750,month,42
751,month,41
752,month,49
753,month,53
754,month,48
755,month,45
756,month,55
757,month,49
758,month,63
759,month,51
760,month,47
761,month,53
762,month,48
763,month,45
764,month,48
765,month,52
766,month,58
767,month,56
768,month,48
769,month,51
770,month,50
771,month,53
772,month,39
773,month,61
774,month,51
775,month,44
776,month,43
777,month,49
778,month,49
779,month,50
780,month,46
781,month,50
782,month,39
783,month,54
784,month,55
785,month,51
786,month,48
787,month,50
788,month,52
789,month,51
790,month,44
791,month,59
792,month,54
793,month,43
794,month,55
795,month,57
796,month,49
797,month,46
798,month,48
799,month,55
800,month,54
801,month,52
802,month,54
803,month,53
804,month,47
805,month,57
806,month,42
807,month,56
808,month,58
809,month,44
810,month,53
811,month,48
812,month,53
813,month,43
814,month,46
815,month,44
816,month,61
817,month,54
818,month,51
819,month,59
820,month,51
821,month,42
822,month,59
823,month,49
824,month,45
825,month,50
826,month,57
827,month,48
828,month,44
829,month,42
830,month,47
831,month,42
832,month,51
833,month,53
834,month,54
835,month,49
836,month,51
837,month,57
838,month,57
839,month,52
840,month,48
841,month,52
842,month,52
843,month,50
844,month,45
845,month,47
846,month,52
847,month,48
848,month,50
849,month,43
850,month,49
851,month,54
852,month,52
853,month,49
854,month,60
855,month,49
856,month,48
857,month,54
858,month,46
859,month,60
860,month,53
861,month,49
862,month,39
863,month,54
864,month,51
865,month,56
866,month,53
867,month,45
868,month,47
869,month,42
870,month,54
871,month,41
872,month,49
873,month,51
874,month,43
875,month,54
876,month,52
877,month,53
878,month,49
879,month,50
880,month,49
881,month,50
882,month,60
883,month,55
884,month,39
885,month,57
886,month,48
887,month,59
888,month,54
889,month,45
890,month,58
891,month,47
892,month,54
893,month,50
894,month,50
895,month,51
896,month,45
897,month,48
898,month,49
899,month,47
900,month,51
901,month,53
902,month,51
903,month,58
904,month,56
905,month,50
906,month,49
907,month,45
908,month,42
909,month,44
910,month,43
911,month,58
912,month,46
913,month,48
914,month,41
915,month,48
916,month,53
917,month,48
918,month,47
919,month,46
920,month,55
921,month,65
922,month,45
923,month,51
924,month,51
925,month,48
926,month,54
927,month,48
928,month,49
929,month,43
930,month,47
931,month,45
932,month,49
933,month,55
934,month,54
935,month,38
936,month,55
937,month,52
938,month,50
939,month,48
940,month,50
941,month,48
942,month,42
943,month,58
944,month,48
945,month,56
946,month,48
947,month,59
948,month,52
949,month,45
950,month,52
951,month,46
952,month,54
953,month,44
954,month,50
955,month,57
956,month,55
957,month,56
958,month,50
959,month,46
960,month,41
961,month,51
962,month,56
963,month,51
964,month,48
965,month,42
966,month,50
967,month,56
968,month,44
969,month,51
970,month,53
971,month,55
972,month,55
973,month,45
974,month,43
975,month,48
976,month,45
977,month,43
978,month,51
979,month,52
980,month,52
981,month,54
982,month,54
983,month,51
984,month,36
985,month,43
986,month,49
987,month,46
988,month,41
989,month,56
990,month,54
991,month,47
992,month,51
993,month,49
994,month,47
995,month,55
996,month,46
997,month,61
998,month,46
999,month,50
1000,month,52
1001,month,52
1002,month,51
1003,month,49
1004,month,58
1005,month,44
1006,month,56
1007,month,55
1008,month,44
1009,month,50
1010,month,55
1011,month,53
1012,month,51
1013,month,51
1014,month,52
1015,month,54
1016,month,54
1017,month,55
1018,month,54
1019,month,44
1020,month,51
1021,month,44
1022,month,51
1023,month,51
1024,month,48
1025,month,51
1026,month,49
1027,month,52
1028,month,42
1029,month,43
1030,month,51
1031,month,47
1032,month,54
1033,month,46
1034,month,60
1035,month,52
1036,month,40
1037,month,43
1038,month,59
1039,month,49
1040,month,59
1041,month,45
1042,month,52
1043,month,49
1044,month,47
1045,month,45
1046,month,43
1047,month,46
1048,month,48
1049,month,56
1050,month,47
1051,month,52
1052,month,55
1053,month,52
1054,month,53
1055,month,60
1056,month,49
1057,month,54
1058,month,58
1059,month,45
1060,month,52
1061,month,39
1062,month,46
1063,month,50
1064,month,49
1065,month,48
1066,month,49
1067,month,49
1068,month,48
1069,month,49
1070,month,40
1071,month,42
1072,month,44
1073,month,51
1074,month,52
1075,month,50
1076,month,58
1077,month,45
1078,month,50
1079,month,48
1080,month,56
1081,month,52
1082,month,52
1083,month,44
1084,month,60
1085,month,56
1086,month,49
1087,month,52
1088,month,54
1089,month,45
1090,month,42
1091,month,55
1092,month,50
1093,month,49
1094,month,53
1095,month,56
1096,month,55
1097,month,44
1098,month,42
1099,month,61
1100,month,37
1101,month,45
1102,month,37
1103,month,42
1104,month,51
1105,month,52
1106,month,41
1107,month,48
1108,month,57
1109,month,47
1110,month,53
1111,month,47
1112,month,42
1113,month,55
1114,month,59
1115,month,52
1116,month,52
1117,month,49
1118,month,46
1119,month,43
1120,month,50
1121,month,49
1122,month,52
1123,month,52
1124,month,49
1125,month,44
1126,month,52
1127,month,48
1128,month,50
1129,month,53
1130,month,51
1131,month,50
1132,month,46
1133,month,52
1134,month,46
1135,month,53
1136,month,52
1137,month,54
1138,month,58
1139,month,48
1140,month,45
1141,month,48
1142,month,42
1143,month,63
1144,month,43
1145,month,44
1146,month,49
1147,month,50
1148,month,51
1149,month,52
1150,month,57
1151,month,50
1152,month,47
1153,month,48
1154,month,42
1155,month,54
1156,month,46
1157,month,53
1158,month,52
1159,month,42
1160,month,47
1161,month,56
1162,month,56
1163,month,49
1164,month,53
1165,month,47
1166,month,54
1167,month,47
1168,month,57
1169,month,56
1170,month,43
1171,month,51
1172,month,47
1173,month,47
1174,month,57
1175,month,37
1176,month,49
1177,month,46
1178,month,53
1179,month,51
1180,month,48
1181,month,43
1182,month,42
1183,month,51
1184,month,48
1185,month,52
1186,month,45
1187,month,53
1188,month,59
1189,month,51
1190,month,50
1191,month,54
1192,month,48
1193,month,47
1194,month,52
1195,month,47
1196,month,53
1197,month,40
1198,month,45
1199,month,51
1200,year,548
1201,year,624
1202,year,615
1203,year,607
1204,year,619
1205,year,686
1206,year,564
1207,year,517
1208,year,687
1209,year,594
1210,year,571
1211,year,584
1212,year,606
1213,year,670
1214,year,575
1215,year,570
1216,year,641
1217,year,579
1218,year,651
1219,year,591
1220,year,581
1221,year,447
1222,year,539
1223,year,521
1224,year,629
1225,year,499
1226,year,588
1227,year,758
1228,year,586
1229,year,552
1230,year,474
1231,year,548
1232,year,491
1233,year,491
1234,year,605
1235,year,578
1236,year,627
1237,year,700
1238,year,652
1239,year,496
1240,year,609
1241,year,620
1242,year,589
1243,year,655
1244,year,584
1245,year,619
1246,year,543
1247,year,556
1248,year,526
1249,year,668
1250,year,631
1251,year,655
1252,year,615
1253,year,556
1254,year,566
1255,year,576
1256,year,666
1257,year,538
1258,year,617
1259,year,711
1260,year,537
1261,year,568
1262,year,684
1263,year,635
1264,year,545
1265,year,581
1266,year,556
1267,year,612
1268,year,607
1269,year,564
1270,year,710
1271,year,497
1272,year,551
1273,year,602
1274,year,607
1275,year,538
1276,year,629
1277,year,567
1278,year,388
1279,year,623
1280,year,563
1281,year,686
1282,year,592
1283,year,614
1284,year,669
1285,year,535
1286,year,662
1287,year,739
1288,year,529
1289,year,549
1290,year,576
1291,year,422
1292,year,602
1293,year,612
1294,year,592
1295,year,606
1296,year,503
1297,year,652
1298,year,542
1299,year,693
1300,year,742
1301,year,572
1302,year,599
1303,year,642
1304,year,619
1305,year,539
1306,year,473
1307,year,513
1308,year,569
1309,year,605
1310,year,704
1311,year,703
1312,year,601
1313,year,645
1314,year,664
1315,year,593
1316,year,638
1317,year,630
1318,year,634
1319,year,653
1320,year,616
1321,year,586
1322,year,561
1323,year,619
1324,year,635
1325,year,576
1326,year,617
1327,year,591
1328,year,544
1329,year,594
1330,year,602
1331,year,608
1332,year,672
1333,year,593
1334,year,648
1335,year,588
1336,year,646
1337,year,548
1338,year,660
1339,year,692
1340,year,698
1341,year,577
1342,year,620
1343,year,626
1344,year,565
1345,year,602
1346,year,686
1347,year,601
1348,year,712
1349,year,542
1350,year,658
1351,year,588
1352,year,538
1353,year,605
1354,year,499
1355,year,571
1356,year,669
1357,year,620
1358,year,704
1359,year,548
1360,year,529
1361,year,557
1362,year,701
1363,year,550
1364,year,652
1365,year,606
1366,year,568
1367,year,632
1368,year,608
1369,year,590
1370,year,495
1371,year,476
1372,year,544
1373,year,567
1374,year,578
1375,year,556
1376,year,580
1377,year,689
1378,year,613
1379,year,704
1380,year,669
1381,year,618
1382,year,621
1383,year,618
1384,year,697
1385,year,621
1386,year,507
1387,year,577
1388,year,589
1389,year,544
1390,year,584
1391,year,652
1392,year,606
1393,year,642
1394,year,623
1395,year,555
1396,year,574
1397,year,585
1398,year,708
1399,year,634
1400,year,621
1401,year,547
1402,year,688
1403,year,437
1404,year,533
1405,year,718
1406,year,599
1407,year,564
1408,year,545
1409,year,632
1410,year,616
1411,year,526
1412,year,597
1413,year,576
1414,year,640
1415,year,522
1416,year,540
1417,year,521
1418,year,527
1419,year,558
1420,year,729
1421,year,572
1422,year,692
1423,year,644
1424,year,626
1425,year,550
1426,year,516
1427,year,616
1428,year,596
1429,year,572
1430,year,586
1431,year,669
1432,year,690
1433,year,677
1434,year,617
1435,year,561
1436,year,564
1437,year,594
1438,year,604
1439,year,723
1440,year,578
1441,year,537
1442,year,531
1443,year,694
1444,year,574
1445,year,619
1446,year,613
1447,year,609
1448,year,716
1449,year,573
1450,year,594
1451,year,500
1452,year,578
1453,year,590
1454,year,677
1455,year,543
1456,year,655
1457,year,598
1458,year,590
1459,year,647
1460,year,651
1461,year,685
1462,year,654
1463,year,726
1464,year,613
1465,year,549
1466,year,506
1467,year,481
1468,year,692
1469,year,561
1470,year,683
1471,year,515
1472,year,561
1473,year,549
1474,year,543
1475,year,522
1476,year,599
1477,year,745
1478,year,699
1479,year,753
1480,year,681
1481,year,594
1482,year,612
1483,year,511
1484,year,588
1485,year,559
1486,year,550
1487,year,646
1488,year,499
1489,year,594
1490,year,608
1491,year,632
1492,year,677
1493,year,653
1494,year,562
1495,year,715
1496,year,652
1497,year,643
1498,year,693
1499,year,618
1500,year,604
1501,year,566
1502,year,615
1503,year,489
1504,year,539
1505,year,574
1506,year,560
1507,year,628
1508,year,663
1509,year,568
1510,year,642
1511,year,606
1512,year,443
1513,year,641
1514,year,588
1515,year,637
1516,year,509
1517,year,669
1518,year,579
1519,year,519
1520,year,519
1521,year,552
1522,year,598
1523,year,617
1524,year,632
1525,year,692
1526,year,629
1527,year,684
1528,year,499
1529,year,560
1530,year,574
1531,year,646
1532,year,482
1533,year,583
1534,year,590
1535,year,586
1536,year,481
1537,year,575
1538,year,581
1539,year,574
1540,year,606
1541,year,578
1542,year,608
1543,year,647
1544,year,628
1545,year,582
1546,year,575
1547,year,575
1548,year,624
1549,year,610
1550,year,536
1551,year,639
1552,year,769
1553,year,636
1554,year,545
1555,year,568
1556,year,571
1557,year,651
1558,year,601
1559,year,557
1560,year,516
1561,year,493
1562,year,628
1563,year,650
1564,year,593
1565,year,678
1566,year,579
1567,year,512
1568,year,542
1569,year,581
1570,year,649
1571,year,561
1572,year,641
1573,year,600
1574,year,573
1575,year,683
1576,year,606
1577,year,615
1578,year,464
1579,year,651
1580,year,591
1581,year,522
1582,year,622
1583,year,632
1584,year,528
1585,year,615
1586,year,586
1587,year,621
1588,year,459
1589,year,501
1590,year,476
1591,year,461
1592,year,582
1593,year,585
1594,year,624
1595,year,674
1596,year,642
1597,year,662
1598,year,687
1599,year,594
1600,year,640
1601,year,567
1602,year,584
1603,year,511
1604,year,581
1605,year,604
1606,year,650
1607,year,623
1608,year,553
1609,year,620
1610,year,674
1611,year,669
1612,year,547
1613,year,583
1614,year,549
1615,year,618
1616,year,592
1617,year,617
1618,year,571
1619,year,475
1620,year,534
1621,year,619
1622,year,720
1623,year,564
1624,year,609
1625,year,663
1626,year,645
1627,year,625
1628,year,611
1629,year,494
1630,year,586
1631,year,606
1632,year,643
1633,year,507
1634,year,636
1635,year,631
1636,year,576
1637,year,558
1638,year,677
1639,year,534
1640,year,584
1641,year,668
1642,year,610
1643,year,670
1644,year,640
1645,year,676
1646,year,503
1647,year,593
1648,year,576
1649,year,714
1650,year,569
1651,year,501
1652,year,632
1653,year,552
1654,year,568
1655,year,491
1656,year,516
1657,year,649
1658,year,555
1659,year,616
1660,year,603
1661,year,611
1662,year,667
1663,year,711
1664,year,613
1665,year,579
1666,year,643
1667,year,591
1668,year,617
1669,year,630
1670,year,710
1671,year,626
1672,year,595
1673,year,511
1674,year,570
1675,year,612
1676,year,536
1677,year,604
1678,year,567
1679,year,653
1680,year,589
1681,year,580
1682,year,533
1683,year,669
1684,year,591
1685,year,563
1686,year,535
1687,year,682
1688,year,590
1689,year,689
1690,year,469
1691,year,555
1692,year,466
1693,year,578
1694,year,664
1695,year,552
1696,year,571
1697,year,615
1698,year,574
1699,year,579
1700,year,627
1701,year,539
1702,year,552
1703,year,549
1704,year,557
1705,year,620
1706,year,578
1707,year,578
1708,year,676
1709,year,602
1710,year,564
1711,year,592
1712,year,507
1713,year,706
1714,year,599
1715,year,612
1716,year,673
1717,year,541
1718,year,539
1719,year,507
1720,year,613
1721,year,462
1722,year,662
1723,year,563
1724,year,627
1725,year,525
1726,year,544
1727,year,618
1728,year,654
1729,year,596
1730,year,655
1731,year,556
1732,year,662
1733,year,629
1734,year,566
1735,year,558
1736,year,596
1737,year,461
1738,year,632
1739,year,495
1740,year,618
1741,year,564
1742,year,593
1743,year,677
1744,year,630
1745,year,708
1746,year,610
1747,year,573
1748,year,620
1749,year,646
1750,year,556
1751,year,628
1752,year,546
1753,year,635
1754,year,511
1755,year,563
1756,year,635
1757,year,469
1758,year,574
1759,year,674
1760,year,627
1761,year,682
1762,year,541
1763,year,605
1764,year,542
1765,year,537
1766,year,644
1767,year,606
1768,year,568
1769,year,560
1770,year,634
1771,year,546
1772,year,514
1773,year,600
1774,year,632
1775,year,535
1776,year,668
1777,year,596
1778,year,615
1779,year,635
1780,year,613
1781,year,614
1782,year,475
1783,year,575
1784,year,533
1785,year,557
1786,year,563
1787,year,515
1788,year,639
1789,year,523
1790,year,639
1791,year,653
1792,year,620
1793,year,479
1794,year,454
1795,year,690
1796,year,419
1797,year,630
1798,year,668
1799,year,611
1800,year,582
1801,year,547
1802,year,506
1803,year,563
1804,year,730
1805,year,544
1806,year,567
1807,year,592
1808,year,634
1809,year,585
1810,year,530
1811,year,558
1812,year,574
1813,year,751
1814,year,693
1815,year,620
1816,year,528
1817,year,627
1818,year,579
1819,year,691
1820,year,633
1821,year,551
1822,year,539
1823,year,616
1824,year,678
1825,year,636
1826,year,648
1827,year,527
1828,year,575
1829,year,620
1830,year,452
1831,year,560
1832,year,514
1833,year,649
1834,year,518
1835,year,626
1836,year,547
1837,year,485
1838,year,543
1839,year,605
1840,year,694
1841,year,644
1842,year,576
1843,year,582
1844,year,677
1845,year,588
1846,year,598
1847,year,639
1848,year,629
1849,year,671
1850,year,604
1851,year,721
1852,year,602
1853,year,653
1854,year,590
1855,year,683
1856,year,499
1857,year,608
1858,year,522
1859,year,660
1860,year,609
1861,year,701
1862,year,597
1863,year,615
1864,year,537
1865,year,632
1866,year,636
1867,year,627
1868,year,660
1869,year,505
1870,year,625
1871,year,492
1872,year,605
1873,year,560
1874,year,703
1875,year,642
1876,year,611
1877,year,681
1878,year,655
1879,year,677
1880,year,615
1881,year,639
1882,year,544
1883,year,585
1884,year,668
1885,year,631
1886,year,656
1887,year,630
1888,year,617
1889,year,730
1890,year,555
1891,year,708
1892,year,521
1893,year,623
1894,year,594
1895,year,626
1896,year,660
1897,year,532
1898,year,576
1899,year,537
1900,year,550
1901,year,644
1902,year,543
1903,year,573
1904,year,580
1905,year,684
1906,year,492
1907,year,622
1908,year,677
1909,year,554
1910,year,577
1911,year,642
1912,year,712
1913,year,651
1914,year,639
1915,year,565
1916,year,664
1917,year,615
1918,year,547
1919,year,629
1920,year,657
1921,year,642
1922,year,598
1923,year,718
1924,year,545
1925,year,618
1926,year,530
1927,year,590
1928,year,569
1929,year,622
1930,year,642
1931,year,557
1932,year,644
1933,year,538
1934,year,624
1935,year,593
1936,year,641
1937,year,665
1938,year,653
1939,year,696
1940,year,683
1941,year,528
1942,year,539
1943,year,519
1944,year,626
1945,year,679
1946,year,640
1947,year,631
1948,year,560
1949,year,640
1950,year,669
1951,year,625
1952,year,682
1953,year,612
1954,year,630
1955,year,673
1956,year,562
1957,year,592
1958,year,693
1959,year,666
1960,year,513
1961,year,627
1962,year,549
1963,year,628
1964,year,620
1965,year,704
1966,year,656
1967,year,634
1968,year,667
1969,year,559
1970,year,672
1971,year,628
1972,year,575
1973,year,635
1974,year,572
1975,year,623
1976,year,591
1977,year,524
1978,year,541
1979,year,573
1980,year,578
1981,year,524
1982,year,580
1983,year,495
1984,year,620
1985,year,503
1986,year,664
1987,year,661
1988,year,536
1989,year,651
1990,year,696
1991,year,607
1992,year,651
1993,year,666
1994,year,591
1995,year,612
1996,year,581
1997,year,563
1998,year,461
1999,year,633
2000,year,664
2001,year,661
2002,year,580
2003,year,637
2004,year,494
2005,year,545
2006,year,650
2007,year,591
2008,year,675
2009,year,620
2010,year,619
2011,year,646
2012,year,566
2013,year,554
2014,year,574
2015,year,676
2016,year,581
2017,year,668
2018,year,561
2019,year,614
2020,year,675
2021,year,521
2022,year,638
2023,year,497
2024,year,599
2025,year,728
2026,year,642
2027,year,674
2028,year,635
2029,year,584
2030,year,615
2031,year,660
2032,year,617
2033,year,713
2034,year,630
2035,year,574
2036,year,575
2037,year,523
2038,year,650
2039,year,504
2040,year,567
2041,year,555
2042,year,568
2043,year,620
2044,year,638
2045,year,588
2046,year,572
2047,year,634
2048,year,612
2049,year,557
2050,year,591
2051,year,592
2052,year,573
2053,year,615
2054,year,561
2055,year,537
2056,year,658
2057,year,616
2058,year,595
2059,year,643
2060,year,639
2061,year,603
2062,year,527
2063,year,662
2064,year,582
2065,year,639
2066,year,631
2067,year,593
2068,year,535
2069,year,547
2070,year,573
2071,year,619
2072,year,646
2073,year,544
2074,year,526
2075,year,466
2076,year,619
2077,year,551
2078,year,472
2079,year,555
2080,year,648
2081,year,599
2082,year,738
2083,year,657
2084,year,613
2085,year,512
2086,year,574
2087,year,527
2088,year,522
2089,year,608
2090,year,566
2091,year,436
2092,year,652
2093,year,531
2094,year,556
2095,year,674
2096,year,561
2097,year,603
2098,year,613
2099,year,668
2100,year,601
2101,year,662
2102,year,648
2103,year,538
2104,year,562
2105,year,684
2106,year,592
2107,year,512
2108,year,687
2109,year,630
2110,year,622
2111,year,579
2112,year,669
2113,year,663
2114,year,512
2115,year,595
2116,year,572
2117,year,568
2118,year,596
2119,year,528
2120,year,662
2121,year,623
2122,year,590
2123,year,635
2124,year,552
2125,year,568
2126,year,485
2127,year,607
2128,year,452
2129,year,526
2130,year,561
2131,year,624
2132,year,690
2133,year,590
2134,year,630
2135,year,563
2136,year,704
2137,year,649
2138,year,628
2139,year,573
